[17-May-2013 17:42:54 UTC] PHP Notice:  Undefined variable: assigned_agents in D:\websites\cultureservicegrowth.com\inCloudTesting\incontact_assigned_agents_function_2.php on line 35
[02-Jul-2013 00:35:02 UTC] PHP Notice:  Undefined variable: mark_ in D:\websites\cultureservicegrowth.com\inCloudTesting\get_cdr_21st.php on line 67
[02-Jul-2013 00:35:02 UTC] PHP Warning:  fopen(D:\websites\cultureservicegrowth.com\inCloudtesting\DetailReport_2013-06-30T19:33:25-05:00.csv): failed to open stream: Invalid argument in D:\websites\cultureservicegrowth.com\inCloudTesting\get_cdr_21st.php on line 68
[02-Jul-2013 00:38:04 UTC] PHP Notice:  Undefined variable: mark_ in D:\websites\cultureservicegrowth.com\inCloudTesting\get_cdr_21st.php on line 67
[02-Jul-2013 00:38:04 UTC] PHP Warning:  fopen(D:\websites\cultureservicegrowth.com\inCloudtesting\DetailReport_2013-06-30T19:36:26-05:00.csv): failed to open stream: Invalid argument in D:\websites\cultureservicegrowth.com\inCloudTesting\get_cdr_21st.php on line 68
[02-Jul-2013 00:40:15 UTC] PHP Notice:  Undefined variable: mark_ in D:\websites\cultureservicegrowth.com\inCloudTesting\get_cdr_21st.php on line 67
[02-Jul-2013 00:40:15 UTC] PHP Warning:  fopen(D:\websites\cultureservicegrowth.com\inCloudtesting\DetailReport_2013-06-30T19:38:37-05:00.csv): failed to open stream: Invalid argument in D:\websites\cultureservicegrowth.com\inCloudTesting\get_cdr_21st.php on line 68
[02-Jul-2013 00:41:08 UTC] PHP Notice:  Undefined variable: mark_ in D:\websites\cultureservicegrowth.com\inCloudTesting\get_cdr_21st.php on line 67
[02-Jul-2013 00:41:08 UTC] PHP Warning:  fopen(D:\websites\cultureservicegrowth.com\inCloudtesting\DetailReport_2013-06-30T19:39:25-05:00.csv): failed to open stream: Invalid argument in D:\websites\cultureservicegrowth.com\inCloudTesting\get_cdr_21st.php on line 68
[09-Jul-2013 19:41:12 UTC] PHP Notice:  Undefined property: stdClass::$SkillName in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Warning:  preg_match(): Delimiter must not be alphanumeric or backslash in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Notice:  Undefined property: stdClass::$SkillName in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Warning:  preg_match(): Delimiter must not be alphanumeric or backslash in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Notice:  Undefined property: stdClass::$SkillName in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Warning:  preg_match(): Delimiter must not be alphanumeric or backslash in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Notice:  Undefined property: stdClass::$SkillName in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Warning:  preg_match(): Delimiter must not be alphanumeric or backslash in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Notice:  Undefined property: stdClass::$SkillName in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Warning:  preg_match(): Delimiter must not be alphanumeric or backslash in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Notice:  Undefined property: stdClass::$SkillName in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Warning:  preg_match(): Delimiter must not be alphanumeric or backslash in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Notice:  Undefined property: stdClass::$SkillName in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Warning:  preg_match(): Delimiter must not be alphanumeric or backslash in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Notice:  Undefined property: stdClass::$SkillName in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Warning:  preg_match(): Delimiter must not be alphanumeric or backslash in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Notice:  Undefined property: stdClass::$SkillName in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Warning:  preg_match(): Delimiter must not be alphanumeric or backslash in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Notice:  Undefined property: stdClass::$SkillName in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
[09-Jul-2013 19:41:12 UTC] PHP Warning:  preg_match(): Delimiter must not be alphanumeric or backslash in D:\websites\cultureservicegrowth.com\inCloudTesting\fast_deactivate.php on line 24
