Created Time,Group,Resolved Time,Status
2013-05-06 07:40:45 -0500,Con-Way Software Support,2013-05-06 12:58:11 -0500,Closed
2013-05-06 08:27:18 -0500,PacLife Other,2013-05-06 08:53:32 -0500,Closed
2013-05-06 08:31:36 -0500,PacLife Hardware Support,2013-05-06 11:27:50 -0500,Closed
2013-05-06 08:41:13 -0500,CSG Staff Software Support,2013-05-06 08:42:54 -0500,Closed
2013-05-06 08:58:34 -0500,Con-Way Software Support,2013-05-06 09:00:13 -0500,Closed
2013-05-06 09:36:46 -0500,Farmers Hardware Support,2013-05-06 12:40:49 -0500,Closed
2013-05-06 10:17:33 -0500,Other,2013-05-06 12:40:18 -0500,Closed
2013-05-06 13:13:36 -0500,Project,2013-05-06 15:14:43 -0500,Closed
2013-05-06 13:15:06 -0500,Project,2013-05-07 16:52:49 -0500,Closed
2013-05-06 13:29:37 -0500,CSG Staff Hardware Support,2013-05-06 14:00:16 -0500,Closed
2013-05-06 13:53:12 -0500,CSG Staff Software Support,2013-05-06 14:27:57 -0500,Closed
2013-05-06 14:47:00 -0500,Nationwide Other,2013-05-06 15:07:55 -0500,Closed
2013-05-06 15:18:50 -0500,Farmers Other,2013-05-06 15:53:38 -0500,Closed
2013-05-06 15:35:46 -0500,Farmers Software Support,2013-05-07 10:32:08 -0500,Closed
2013-05-06 17:10:46 -0500,Farmers Other,2013-05-06 17:26:16 -0500,Closed
2013-05-06 18:25:34 -0500,DoE Software Support,2013-05-07 08:23:07 -0500,Closed
2013-05-06 18:26:55 -0500,DoE Software Support,2013-05-07 08:22:57 -0500,Closed
2013-05-07 09:07:04 -0500,Project,2013-05-07 10:06:45 -0500,Closed
2013-05-07 09:41:10 -0500,Farmers Other,2013-05-07 10:02:49 -0500,Closed
2013-05-07 09:44:09 -0500,Con-Way Other,2013-05-07 10:28:55 -0500,Closed
2013-05-07 09:46:47 -0500,Project,2013-05-07 10:08:24 -0500,Closed
2013-05-07 09:55:59 -0500,CSG Staff Other,2013-05-07 10:03:36 -0500,Closed
2013-05-07 11:25:20 -0500,Farmers Hardware Support,2013-05-08 15:20:07 -0500,Closed
